Name,Callsign
BBC R1,BBCR1
BBC R1X,BBCR1X
BBC R2,BBCR2
BBC R3,BBCR3
BBC R4,BBCR4FM
BBC R4 Extra,BBCR4EX
BBC R5L,BBCR5L
BBC R6 Music,BBCR6M
Capital,CAPRAD
Capital XTRA,CAPXTRA
Classic FM,CLASSFM
Gold Radio,GOLDRAD
Heart,HEART
Heart 80s,HEART80
Heart 90s,HEART90
LBC,LBCLND
LBC News,LBCNEWS
Smooth,SMTHFM
talkSPORT,TLKSPT
Virgin Radio,VIRGRAD
